2026-04-11 11:34:43,328 - Core - INFO - 🚀 启动全量流式下载流水线...
2026-04-11 11:34:43,328 - DataFetcher - INFO - 🚀 正在登录 Baostock...
2026-04-11 11:34:43,384 - DataFetcher - INFO - ✅ Baostock 登录成功
2026-04-11 11:34:43,384 - DataFetcher - INFO - 📅 尝试获取股票列表 (查询日期: 2026-04-10)...
2026-04-11 11:34:50,790 - DataFetcher - INFO - ✅ 获取到 5483 只A股股票
2026-04-11 11:34:59,323 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600011: 网络接收错误。
2026-04-11 11:34:59,324 - Core - INFO - 📊 sh.600011 处理完成 | 状态: no_data | 行数: 0
2026-04-11 11:35:13,797 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600010: 网络接收错误。
2026-04-11 11:35:13,797 - Core - INFO - 📊 sh.600010 处理完成 | 状态: no_data | 行数: 0
2026-04-11 11:35:22,243 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600007: 网络接收错误。
2026-04-11 11:35:22,243 - Core - INFO - 📊 sh.600007 处理完成 | 状态: no_data | 行数: 0
2026-04-11 11:35:24,530 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600015: 网络接收错误。
2026-04-11 11:35:24,530 - Core - INFO - 📊 sh.600015 处理完成 | 状态: no_data | 行数: 0
2026-04-11 11:35:28,873 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600008: 网络接收错误。
2026-04-11 11:35:28,873 - Core - INFO - 📊 sh.600008 处理完成 | 状态: no_data | 行数: 0
2026-04-11 11:35:37,501 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600009: 网络接收错误。
2026-04-11 11:35:37,501 - Core - INFO - 📊 sh.600009 处理完成 | 状态: no_data | 行数: 0
2026-04-11 11:35:46,158 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600019: 网络接收错误。
2026-04-11 11:35:46,159 - Core - INFO - 📊 sh.600019 处理完成 | 状态: no_data | 行数: 0
2026-04-11 11:35:52,424 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600012: 网络接收错误。
2026-04-11 11:35:54,055 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600021: 网络接收错误。
2026-04-11 11:36:00,051 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600023: 网络接收错误。
2026-04-11 11:37:40,860 - Database - INFO - ✅ 索引确保存在于 stock_daily
2026-04-11 11:37:40,861 - Core - INFO - 🚀 启动全量流式下载流水线...
2026-04-11 11:37:40,861 - DataFetcher - INFO - 🚀 正在登录 Baostock...
2026-04-11 11:37:40,929 - DataFetcher - INFO - ✅ Baostock 登录成功
2026-04-11 11:37:40,929 - DataFetcher - INFO - 📅 尝试获取股票列表 (查询日期: 2026-04-10)...
2026-04-11 11:37:51,436 - DataFetcher - INFO - ✅ 获取到 5483 只A股股票
2026-04-11 11:37:57,793 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600000: 网络接收错误。
2026-04-11 11:37:57,794 - Core - WARNING - ⚠️ sh.600000 下载为空/失败，1秒后重试 (1/3)...
2026-04-11 11:38:05,155 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600000: 网络接收错误。
2026-04-11 11:38:05,155 - Core - WARNING - ⚠️ sh.600000 下载为空/失败，1秒后重试 (2/3)...
2026-04-11 11:38:13,811 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600000: 网络接收错误。
2026-04-11 11:38:13,812 - Core - INFO - 📊 sh.600000 | no_data | 行数: 0
2026-04-11 11:38:24,336 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600006: 网络接收错误。
2026-04-11 11:38:24,337 - Core - WARNING - ⚠️ sh.600006 下载为空/失败，1秒后重试 (1/3)...
2026-04-11 11:38:29,410 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600006: 网络接收错误。
2026-04-11 11:38:29,410 - Core - WARNING - ⚠️ sh.600006 下载为空/失败，1秒后重试 (2/3)...
2026-04-11 11:38:37,912 - DataFetcher - ERROR - ❌ 获取数据失败 sh.600007: 网络接收错误。
2026-04-11 11:38:37,912 - Core - WARNING - ⚠️ sh.600007 下载为空/失败，1秒后重试 (1/3)...
2026-04-11 11:38:48,258 - Database - INFO - ✅ 索引确保存在于 stock_daily
2026-04-11 11:38:48,259 - Core - INFO - 🚀 启动全量流式下载流水线...
2026-04-11 11:38:48,259 - DataFetcher - INFO - 🚀 正在登录 Baostock...
2026-04-11 11:38:48,482 - DataFetcher - INFO - ✅ Baostock 登录成功
2026-04-11 11:38:48,482 - DataFetcher - INFO - 📅 尝试获取股票列表 (查询日期: 2026-04-10)...
2026-04-11 11:38:59,801 - DataFetcher - INFO - ✅ 获取到 5483 只A股股票
2026-04-11 11:39:06,306 - Database - INFO - ✅ 成功同步 6400 条记录到 stock_daily
2026-04-11 11:39:06,309 - Core - INFO - 📊 sh.600000 | success | 行数: 6400
2026-04-11 11:39:18,593 - Database - INFO - ✅ 成功同步 5573 条记录到 stock_daily
2026-04-11 11:39:18,595 - Core - INFO - 📊 sh.600004 | success | 行数: 5573
2026-04-11 11:39:22,987 - Database - INFO - ✅ 成功同步 6471 条记录到 stock_daily
2026-04-11 11:39:22,989 - Core - INFO - 📊 sh.600006 | success | 行数: 6471
2026-04-11 11:39:31,921 - Database - INFO - ✅ 成功同步 6567 条记录到 stock_daily
2026-04-11 11:39:31,924 - Core - INFO - 📊 sh.600007 | success | 行数: 6567
2026-04-11 11:39:43,600 - Database - INFO - ✅ 成功同步 6292 条记录到 stock_daily
2026-04-11 11:39:43,602 - Core - INFO - 📊 sh.600008 | success | 行数: 6292
2026-04-11 11:39:51,906 - Database - INFO - ✅ 成功同步 6603 条记录到 stock_daily
2026-04-11 11:39:51,908 - Core - INFO - 📊 sh.600009 | success | 行数: 6603
2026-04-11 11:39:59,268 - Database - INFO - ✅ 成功同步 6087 条记录到 stock_daily
2026-04-11 11:39:59,270 - Core - INFO - 📊 sh.600010 | success | 行数: 6087
2026-04-11 11:40:07,176 - Database - INFO - ✅ 成功同步 5903 条记录到 stock_daily
2026-04-11 11:43:39,088 - TestRunner - INFO - 🧪 开始测试：前10只股票的数据流转 (下载 -> 清洗 -> 入库)
2026-04-11 11:43:39,112 - Database - INFO - ✅ 索引确保存在于 stock_daily
2026-04-11 11:43:39,112 - DataFetcher - INFO - 🚀 正在登录 Baostock...
2026-04-11 11:43:39,217 - DataFetcher - INFO - ✅ Baostock 登录成功
2026-04-11 11:43:39,217 - DataFetcher - INFO - 📅 尝试获取股票列表 (查询日期: 2026-04-10)...
2026-04-11 11:43:44,346 - DataFetcher - INFO - ✅ 获取到 5483 只A股股票
2026-04-11 11:43:44,346 - TestRunner - INFO - 📋 已获取列表，截取前 10 只股票进行测试。
2026-04-11 11:43:44,346 - TestRunner - INFO - ⏰ 测试时间范围: 2025-01-01 至 2026-04-11
2026-04-11 11:43:44,346 - TestRunner - INFO - 👉 正在处理: [sh.600000] 浦发银行...
2026-04-11 11:43:44,887 - Database - INFO - ✅ 成功同步 306 条记录到 stock_daily
2026-04-11 11:43:44,887 - TestRunner - INFO - ✅ sh.600000 成功入库 306 条记录
2026-04-11 11:43:45,388 - TestRunner - INFO - 👉 正在处理: [sh.600004] 白云机场...
2026-04-11 11:43:45,683 - Database - INFO - ✅ 成功同步 306 条记录到 stock_daily
2026-04-11 11:43:45,683 - TestRunner - INFO - ✅ sh.600004 成功入库 306 条记录
2026-04-11 11:43:46,183 - TestRunner - INFO - 👉 正在处理: [sh.600006] 东风股份...
2026-04-11 11:43:46,324 - Database - INFO - ✅ 成功同步 306 条记录到 stock_daily
2026-04-11 11:43:46,324 - TestRunner - INFO - ✅ sh.600006 成功入库 306 条记录
2026-04-11 11:43:46,825 - TestRunner - INFO - 👉 正在处理: [sh.600007] 中国国贸...
2026-04-11 11:43:47,712 - Database - INFO - ✅ 成功同步 306 条记录到 stock_daily
2026-04-11 11:43:47,712 - TestRunner - INFO - ✅ sh.600007 成功入库 306 条记录
2026-04-11 11:43:48,213 - TestRunner - INFO - 👉 正在处理: [sh.600008] 首创环保...
2026-04-11 11:43:48,422 - Database - INFO - ✅ 成功同步 306 条记录到 stock_daily
2026-04-11 11:43:48,422 - TestRunner - INFO - ✅ sh.600008 成功入库 306 条记录
2026-04-11 11:43:48,923 - TestRunner - INFO - 👉 正在处理: [sh.600009] 上海机场...
